,EIF1,PSMB5,ANKRD11,PTMA,NFRKB,HSP90B1,TFAM,CSNK2B,C17orf58,MED19,SETDB1,UXS1,ACTB,WTAP,YEATS2,RPL41,MRPS28,SIN3A,HSPA8,GRSF1,RAC3,ATP2A2,GRB2,JAZF1,MRPL38,PABPN1,MRPL34,NUDCD3,MRPS27,HSD17B10,MRPL4,TPT1,HSPD1,MRPL24,MRPS35,ISCA2,MCMBP,MRPL54,SLC39A7,PMPCB,MRPL27,MRPL39,INO80B,TARS2,UPF2,GFM1,ZBTB17,RGPD6,TRNT1,SPCS3,DLD,CLASRP,SMG5,DDX46,RSL1D1,CSE1L,TARDBP,INTS8,SRP72,DNMT1,PAXBP1,PHAX,MAGOH,EIF2B2,SF3A2,CNOT3,THAP1,EIF2B5,MRPL16,SSU72,YEATS4,SART3,MVK,E4F1,MRPL35,RBMX2,EXOSC2,CIAPIN1,PSMG3,EEF2,GPS1,TSR1,CPSF3,EIF2B1,ALG14,PSMA4,NUP107,MRPL36,CYS1,OGFOD1,MRPL19,TTI1,UBA2,RABGGTA,SRP68,HNRNPL,EXOSC3
EIF1,,0.03653719548360912,0.13465871267432317,1.2762790786736768,0.054022621933005,0.06446824480507485,0.040396237148930036,0.10546431223480968,0.2814185716398725,0.04277918451141571,0.08432062888537162,0.11614348676731834,0.030453391476074954,0.05758861628091927,0.10332898254961165,0.12670265465396013,0.05125822903301991,0.02451402115303536,0.0771288925070237,0.05272803261263048,0.031202156607880838,0.11255440771551761,0.07488852249156364,0.03452813108439379,0.061496650419301746,0.06405735348324415,0.0497815671844557,0.08554501417834437,0.10257215580918344,0.043469977886394506,0.03486605972302703,0.08140342855563332,0.08488484159020804,0.07397345317169379,0.046149330035580416,0.04862974619132121,0.03042974107733476,0.046257218171222414,0.16400121494792763,0.04987724952407735,0.042653458871250605,0.09219372249976254,0.03443557079955384,0.052476746574728894,0.0870621055077917,0.07762440211615829,0.10917462193414929,0.03939186077683754,0.07499206399956193,0.09767065167608524,0.2727992095362528,0.039314198846809645,1.6144718615774774,0.050592537159627304,0.049553201658298685,0.04585655386112919,0.0623198097734361,0.8237499099027091,0.0704447173192253,0.06597877256655671,0.04784786067839264,0.053714930368852665,0.03972564709327342,0.27756472106343355,0.030599868899895744,0.0552483863316694,0.15096059010288498,0.04222528938051395,0.09532086786246019,0.054160767535700316,0.08961133826216994,0.058167522679353434,0.0555625841264924,0.06151544801131126,0.036215064372968064,0.07238648208809806,0.11728554902063026,0.09045882936695915,0.04312397678174773,0.057365334342294294,0.0948250030690303,0.05333881884614777,0.062140236158113926,0.05077621450539738,0.0683554496022788,0.07534372633371877,0.038797195556342645,0.034564866813369344,0.3450854542521953,0.4435083491677886,0.6437072085639609,0.05912298955445583,0.06951846058394617,0.0628172759075708,0.043910877318124264,0.09792965298726819,0.11020306360668963
PSMB5,0.03653719548360912,,0.14688250708949768,1.2470294229786365,0.05132596097278752,0.08081692990893319,0.04621312277710066,0.11537752671412305,0.2692038861064834,0.04394800995988224,0.0901465200190108,0.10671240437513818,0.03604615477973416,0.06788978659288458,0.11709474591587199,0.11468841869648472,0.05695655708408531,0.024161826292119604,0.08832019097552501,0.06284441328205825,0.037232990149384304,0.11754592797391716,0.08113890020796544,0.0349112726542804,0.06725494810854438,0.06755540131827675,0.058215510971779016,0.09467899937057989,0.11115977488403417,0.0511103911190125,0.037604754093115145,0.08044069950643984,0.07475760474618309,0.06883918470868655,0.05774651595883751,0.05693940455412638,0.029189058178385907,0.05001867989870068,0.18173809965041454,0.06250965902820971,0.04604217473915517,0.08447653296803925,0.03662249752014812,0.05753493124447151,0.09296285021910178,0.07222927335887086,0.11980328464166579,0.03855492279233874,0.0800287150220933,0.10923905800093936,0.26182025128052766,0.04632333577818393,1.5986640199147977,0.05162254873269323,0.061262158582793824,0.041642473048822515,0.05759795935280165,0.7935154765411121,0.06256299530920562,0.05583521628832766,0.054232003843169174,0.0696513295674156,0.04631290403857957,0.26542407625922737,0.03894027375580322,0.05690914417250803,0.1302821214879608,0.03961699854776646,0.08152065864171876,0.06384081058939362,0.0852392409419348,0.05592662516684799,0.05957390020705189,0.06975169519512459,0.03552553934499458,0.07384586529732073,0.12365229894070884,0.09784707529222847,0.05327871776678017,0.05922949916008757,0.10586704297493121,0.05544627749313047,0.07044386430622163,0.05755196310805022,0.08005210924142614,0.0805990997913636,0.04326511508447162,0.03993240389097197,0.3335616851103882,0.42946437995020004,0.6005540318574625,0.06634437319915443,0.075343830452541,0.06727775354885845,0.04763651896126353,0.10615506508053651,0.12037232335470716
ANKRD11,0.13465871267432317,0.14688250708949768,,1.6684733803861003,0.10555041176172464,0.027746149871757497,0.06039851902880222,0.016773156828813085,0.6235635716792534,0.07073660361126222,0.021174092143545153,0.3005480364611358,0.07819200495459588,0.03136258780886714,0.01549552713445912,0.3866004006943552,0.038154476055396125,0.10468889369075673,0.02992272041041777,0.05602499171952502,0.09678578320956222,0.2550182101444922,0.027387798675256536,0.07576222151881795,0.035641442473392626,0.07733558932420936,0.09859082382859685,0.034844941298413645,0.028573810998149818,0.052926432636714704,0.16527477234046362,0.14848248702897238,0.2574796388246209,0.2707711255692431,0.06174959515830036,0.0662247896952286,0.14837570966218205,0.08090915033541846,0.019284544627520384,0.05305737699694624,0.16195792550657295,0.3256817761977072,0.14030567597090893,0.045398480683379594,0.261319289648429,0.28291969870036415,0.013628732518337072,0.16038614681246366,0.10356758728558746,0.019901367451281682,0.4495214050195885,0.06006251888557479,1.895195770741581,0.14002648960265962,0.07061632669284656,0.1696045760279692,0.21606137017731464,1.091078075285336,0.2291184898910661,0.16390612562791995,0.06694481809333486,0.044427068595653596,0.11639257829993588,0.6038757345531138,0.12348771142578285,0.13179205879179468,0.24215366935863858,0.15986858383318592,0.2998595960535413,0.08419616882749026,0.3345241990943766,0.08934767909575236,0.04100075424615346,0.03395997943053508,0.10675142041107777,0.07285468276679496,0.08782168598060103,0.09079907990109681,0.11065487854005707,0.14494315647638867,0.015000917517517753,0.19916376795472257,0.034670223167150294,0.04555130701909704,0.03407580814878042,0.06734852448008144,0.12390465685896834,0.07393642432055747,0.6794880980618246,0.8340329475576274,1.0468282354407474,0.057053910171937616,0.046446276264863195,0.08568807492355512,0.15073111844110032,0.04870178245917234,0.028617082082981082
PTMA,1.2762790786736768,1.2470294229786365,1.6684733803861003,,1.355369313458777,1.555443422726312,1.4294569254586218,1.631608337696162,0.672766615139741,1.4123663626384295,1.5821321524766159,1.0089833124297947,1.3808833171308141,1.525308482748238,1.6312826379053047,0.8817364891612623,1.5009189721348597,1.3280480837652173,1.5704775180391546,1.4828712249668223,1.3529882220540916,1.1974010389373395,1.5558546054726612,1.3866500204393812,1.5304268298170265,1.4608524120226263,1.4055338897027843,1.550165843822605,1.6045187076456575,1.4615642641547002,1.2468534142212069,1.310105455203758,1.1069766298559855,1.0468971729305199,1.461947511904187,1.4454679843495664,1.256069365519239,1.4147379540047926,1.7230390453215036,1.4767227472098945,1.2504913353477947,0.9992579041441088,1.2745313239542968,1.5009013127739714,1.1317110898020113,1.0808086965395134,1.6408153159954246,1.2240625015172326,1.3707886807201488,1.6078959581083525,0.9871502678610516,1.4407768559763259,0.1239324071934178,1.2678529290007794,1.4323665266811603,1.230697139026835,1.169384310165592,0.5086333397070217,1.1589740237871444,1.2633270303106348,1.4397047979058253,1.5013051797391346,1.332762792981307,0.684134248181768,1.3010235010550197,1.3378989115244715,1.1783395196532822,1.2320468205844501,1.0191109931833422,1.4208272160284408,0.9681056915531546,1.3766359068422096,1.4901206851724398,1.515319568882366,1.3348135354626345,1.4349497004197225,1.4994019405431216,1.4175546752485242,1.3737805310505768,1.291910921056418,1.6183238844404935,1.1737695714141936,1.5141985177166084,1.4800554941190196,1.540101234001519,1.4814710318614241,1.3058681048133527,1.4104266493685302,0.601988529596101,0.47706238578140303,0.33526001349928125,1.493968751708505,1.5072679106174136,1.4184939895306425,1.2867040695227958,1.5527028696313807,1.6096204832873218
NFRKB,0.054022621933005,0.05132596097278752,0.10555041176172464,1.355369313458777,,0.05701347435782178,0.04397633925337918,0.07925331887797171,0.3295862418017437,0.0410225285775081,0.06049869773223304,0.17428214756358695,0.038346129336948254,0.050506172294322305,0.08251248868537642,0.16829088544555926,0.048859293112683666,0.04344839779824916,0.06063622580347572,0.044020491319433974,0.04744721794624218,0.11334858416357585,0.0624610216291559,0.040765695729987894,0.04684419403946305,0.052953095462790256,0.05560103443411879,0.07873468425251928,0.07029823808624258,0.04236284755336861,0.05573338177012954,0.08027866273627982,0.10176658012674777,0.11612167312866972,0.044471012028902135,0.039274802248581486,0.05096557812113711,0.0424250437555177,0.13509918547557742,0.05135740832885061,0.058727018146709886,0.1286561903779192,0.03960473626758132,0.046138127615459545,0.10997070667158126,0.10280032481233448,0.08197241707077985,0.05969294128059455,0.08788113224848637,0.08709358844692594,0.2750487350808738,0.038012057972698354,1.661940962205878,0.07031493723877935,0.052150540084760166,0.05621116201213783,0.07161100212395344,0.8540030753466696,0.09001550941677716,0.06215553975329158,0.0454584005043428,0.054538340114240635,0.04549889168911325,0.3471752239481912,0.054318581490409024,0.059177652249401635,0.17248983789957306,0.06768611911025124,0.12480959593312646,0.05931556297684348,0.13782545944871538,0.060205224526165724,0.043627605666293534,0.05757969971096488,0.03872608091851615,0.07469744408392698,0.0957479963195792,0.09318763279705,0.055359837913446786,0.06889492978694922,0.0749006759110854,0.09194617157295648,0.05438125425421925,0.04818048588346502,0.0642725780129012,0.08686521843583195,0.05070416270506806,0.03707978630084474,0.42508452995871604,0.5148095704149167,0.7048816492095367,0.04274088357011563,0.0543177655566397,0.06297546543179855,0.05644669959825077,0.08045418388335657,0.09353554537273967
HSP90B1,0.06446824480507485,0.08081692990893319,0.027746149871757497,1.555443422726312,0.05701347435782178,,0.026598875400039912,0.01640809326896553,0.47324733045375256,0.033872827324631816,0.013323566956699895,0.22827742307631504,0.03327334915001012,0.009791851859113021,0.014833020624438698,0.27405833380410627,0.012756341126924697,0.046768349100714035,0.011931010747768034,0.019784501863160164,0.04518717992548216,0.16470852346195208,0.01456681166401741,0.03469475806626321,0.010502053969187686,0.03553625844249031,0.04206990401221955,0.025956534170673007,0.021840660622110986,0.019729772519602506,0.08251304582366326,0.0947714659432014,0.16860945698312801,0.17644258980458705,0.021352423583658187,0.028355038157889867,0.07227323761985982,0.036661458356111565,0.03766659489179758,0.020476392602915783,0.08613257445043143,0.20942322857735063,0.06998461909751574,0.013130441848670182,0.16437635420161611,0.17208310390462445,0.01611798798199282,0.08776174050513808,0.0752712639211296,0.01776528812573841,0.35977081139630174,0.020631032338949584,1.8172203700902034,0.08348729105579422,0.03255727698472133,0.09158456788251856,0.12590965621719907,0.9872883798501585,0.13963715162787205,0.09703292048356782,0.027076159337901307,0.015128941546631136,0.05484528307135317,0.47168883221387603,0.06234333643911172,0.06632590147183237,0.19670093379174258,0.0921865219988608,0.19992351960594013,0.042451032912831144,0.21935612334981225,0.056530152076696316,0.016071200643389627,0.015618381580073892,0.0487069019224764,0.04818972850409764,0.06360923700318077,0.07007804271365625,0.04929698450151199,0.08494707010360181,0.012671172595729918,0.12002973513567705,0.018042515208696264,0.015565887694338754,0.013850588562247412,0.04182737367652256,0.06133088694129607,0.027601642303716645,0.5565520603332399,0.6828085943124558,0.898586522525752,0.021632300933858373,0.024611346181999116,0.04901161800738585,0.07621395080068938,0.03689089504664156,0.025439693187936152
TFAM,0.040396237148930036,0.04621312277710066,0.06039851902880222,1.4294569254586218,0.04397633925337918,0.026598875400039912,,0.04333734772093145,0.39402966616867585,0.01968175780274506,0.03100144229801005,0.1550237630845156,0.019385129913835564,0.020624544410519863,0.043848527871847454,0.19905015651685254,0.018686956783101394,0.02645815862753642,0.032807947332432086,0.025464556599804178,0.03019144221465575,0.14364086328707082,0.027209356121865258,0.01991472264024885,0.02342791451483539,0.04564016506879209,0.045446226186010574,0.041405682814243505,0.04613924319253071,0.02005367947066561,0.0577123980175096,0.08088857946617767,0.12363656001200751,0.1166825489938833,0.02632094513408223,0.03003604295526552,0.04724788250667733,0.034694559592720386,0.0857782411684147,0.026031139261531666,0.0647421553019526,0.15772857753569824,0.046503690331570424,0.01943460949672393,0.13091985250924043,0.12998100517156486,0.046524741984791396,0.054702126709354815,0.05687847201217644,0.04161096255022956,0.3119445474936492,0.018432805299892663,1.7407659234644453,0.05672932392479346,0.031111909417093075,0.06216789514701182,0.09170835413361944,0.9179050796333902,0.10455638375040677,0.07403178892692941,0.02733704374527568,0.026413292296187274,0.04059325843316619,0.38788655034470165,0.04077887642140432,0.0540220733849206,0.15352272955978552,0.059155800526333846,0.14237044222995487,0.0383966862970716,0.15850868051488098,0.03976271531862363,0.019091323692628004,0.023961716566683333,0.031019178189954144,0.043928749471107364,0.07642886606398558,0.0638371064520683,0.04697660802046233,0.059378235218347286,0.037005833276608446,0.07957847830241671,0.020310849114090868,0.021559502909578643,0.03007057030441984,0.04321552351284719,0.041878641724556576,0.020913614188451946,0.4570733002306945,0.5747867883144755,0.7794548929919756,0.03074513473086604,0.02887901274302962,0.042684523068634905,0.058991270948299146,0.05065372301160054,0.05081826212538021
CSNK2B,0.10546431223480968,0.11537752671412305,0.016773156828813085,1.631608337696162,0.07925331887797171,0.01640809326896553,0.04333734772093145,,0.563760703358948,0.047706498300376765,0.011990010891206104,0.2797988465855159,0.05814251541277882,0.02008986710699956,0.010576882228644169,0.341103559431133,0.024331726652310426,0.07832376354829906,0.016134921413748393,0.03360999396878572,0.07319809333036409,0.20608271378624243,0.01825608640799503,0.05591718592072603,0.01795376229441714,0.053235983707539125,0.07216813375648068,0.03180148346616096,0.016823159940917654,0.03414529070900352,0.12423367305375077,0.12271918654416725,0.2125725440247107,0.23608415587893794,0.040409378457025524,0.04749939642780987,0.11372766828126613,0.05772679588844387,0.02161775238071495,0.03798260820335153,0.12650103348079622,0.2749063988979793,0.10605969000576176,0.026166182708646235,0.21804159226520659,0.22829690917958678,0.00999636458627351,0.1327273400146085,0.09200695517246615,0.016457660894931947,0.40471756478695275,0.03983413200150154,1.8699953171235117,0.11944714021729519,0.051154526239546194,0.13396188130038356,0.1699656328016682,1.0543161975589166,0.18649537247575143,0.12520974234471205,0.04705291938032208,0.031200373155511274,0.08916793983913474,0.565194793419828,0.09762436215087522,0.09753117413153145,0.2303426564256249,0.13293461140861007,0.2546966692204281,0.06668851199198744,0.28863247639691614,0.07601475608623376,0.028427758536091585,0.025399395900043475,0.07820783278822763,0.06514555053725879,0.06918277882197554,0.08647277180092328,0.08136289655878615,0.11363576873237702,0.007955908958042435,0.1687023358170049,0.023423819648722977,0.03217854175390045,0.024144955102784915,0.05888972811759652,0.09882796208955091,0.04787665526184437,0.6433509551021481,0.7767047923126126,0.9814992072774351,0.03248100966366141,0.033749508930777994,0.06782253780215852,0.11405048803583429,0.03375546892082559,0.025019833928989876
C17orf58,0.2814185716398725,0.2692038861064834,0.6235635716792534,0.672766615139741,0.3295862418017437,0.47324733045375256,0.39402966616867585,0.563760703358948,,0.38356381236020476,0.5092641394004186,0.27073705715891283,0.35626188398082537,0.45244282761091414,0.5593408055219131,0.09995850397144579,0.44096119656953303,0.3038529796266356,0.48916756742525824,0.40020716459456895,0.34020199976924625,0.22701073919419656,0.49590626331881316,0.3622048690582206,0.4483974729835466,0.39556123530301746,0.33785334894033203,0.5171286330796059,0.5231240807453813,0.40583880466387534,0.2300645953495596,0.3093161041763526,0.1878276385013513,0.1974347578601332,0.3893889289519653,0.3804987336206769,0.24671608638503273,0.3614265839620664,0.673928563781719,0.41704583359914393,0.2521053977063724,0.12383157255652921,0.260094105678947,0.423739554169147,0.20200849986985991,0.14369118546862403,0.5687497691740298,0.25690111701368246,0.4452094473110063,0.5559673656985824,0.2993159984687014,0.3811429604026183,1.0029150766605384,0.3087738448281496,0.39263322060221384,0.24387657200747914,0.19144828270404612,0.5020397872999809,0.19876922582931478,0.2813375638611135,0.38259477563809874,0.42893294790128234,0.29714768872858477,0.15592981101774606,0.30253878872985274,0.29339128575322937,0.3962708291487468,0.2761639294897811,0.18425458319528265,0.38926221248038473,0.13569148802103437,0.38571020397463807,0.4343238603360723,0.4651224255865286,0.31238507127836124,0.42999373631555615,0.4791315978558973,0.4589275176592338,0.3085431247186238,0.3244584956575881,0.5449582058354612,0.257548503786421,0.46805015522768,0.416996137892925,0.47626819886820093,0.4774539063724975,0.29915642448308266,0.3572050671857063,0.19224077935748818,0.15458573767765627,0.22507329221765593,0.40462853338205607,0.46242310132342124,0.3832124854456892,0.2594953298092981,0.5024196484183168,0.565605742892713
MED19,0.04277918451141571,0.04394800995988224,0.07073660361126222,1.4123663626384295,0.0410225285775081,0.033872827324631816,0.01968175780274506,0.047706498300376765,0.38356381236020476,,0.03485516575569414,0.14340059660506532,0.018194840166698034,0.02563174670450341,0.05386693259034059,0.19140899003747902,0.022944039987973563,0.02895792726310853,0.03775970197144074,0.031318618014334,0.025850962475710948,0.14700473462448327,0.03079268282818315,0.01958458722423717,0.02980867092115136,0.04720988773991974,0.05396294364808074,0.047800906004924704,0.04845664105598246,0.02079982543303205,0.058246792407183445,0.08235967008875644,0.10863411237942233,0.11512308988366382,0.03434045527103091,0.03492921503057611,0.0482040565023556,0.034867375566790426,0.09509049400291825,0.02848633050527738,0.06204285509791618,0.15495459816717028,0.04518026535240016,0.02662709068946667,0.13786109826440818,0.12971343876580899,0.05529543135809478,0.05580760874256119,0.05372180037207097,0.046877504302994866,0.30045416410992676,0.019863480331681393,1.7287849447698889,0.059154224041890746,0.029150321037189397,0.05950624347314004,0.08803744015719461,0.906061884563498,0.09972928352960853,0.06268847637612485,0.03265011382549765,0.034525048556651616,0.044861168743440594,0.3802695857396111,0.04239194976308025,0.060796119380491564,0.14774390117166847,0.056591824204377694,0.1320486793412644,0.04280791153977992,0.15596879092401572,0.029514353202867216,0.025060792484822514,0.025860473006947715,0.02850393996381051,0.043188766791947164,0.08228952558699343,0.06257953557054607,0.0538413782329884,0.0507666348908441,0.044773598260131164,0.08183679478794703,0.02117648077783152,0.025010685403880628,0.03770933203522042,0.05228106846889846,0.043547253126623664,0.020863396742917706,0.45330000821454774,0.5638322206874382,0.7551650251105163,0.03217050475109495,0.028481167214881586,0.048214759363395476,0.062121222816730715,0.05694648311835282,0.05929375181271013
